Cites,Authors,Title,Year,Source,,,,,
53,"IPS Qamar, R Groh, D Holman, A Roudaut",HCI meets material science: A literature review of morphing materials for the design of shape-changing interfaces,2018,Proceedings of the 2018 …,,,,,
92,"Z Zeng, J Tu, M Liu, T Zhang, N Rizzolo, ...",Bimodal HCI-related affect recognition,2004,Proceedings of the 6th …,,,,,
140,B Myers,Challenges of HCI design and implementation,1994,interactions,,,,,
115,J Cassell,Genderizing hci,2002,The Handbook of Human–Computer …,,,,,
41,"J Waycott, H Davis, A Thieme, S Branham, ...",Ethical encounters in HCI: Research in sensitive settings,2015,Proceedings of the 33rd …,,,,,
33,NHNH HCI,Biosynthesis and reactions of homocysteine thiolactone,2001,Homocysteine in health and disease,,,,,
30,"RY Wong, DK Mulligan",Bringing design to the privacy table: Broadening “Design” in “Privacy by Design” through the lens of HCI,2019,Proceedings of the 2019 CHI conference on …,,,,,
60,"A Desjardins, R Wakkary, W Odom",Investigating genres and perspectives in HCI research on the home,2015,Proceedings of the 33rd Annual …,,,,,
88,"L Beckwith, M Burnett, V Grigoreanu, ...",Gender HCI: What about the software?,2006,Computer,,,,,
45,"A Desjardins, A Ball",Revealing tensions in autobiographical design in HCI,2018,proceedings of the 2018 designing interactive …,,,,,
22,"M Si˙ msek, I Mendi˙ lci˙ oglu, E Mi˙ hci˙, ...",Prenatal diagnosis and early treatment of fetal goitrous hypothyroidism and treatment results with two-year follow-up,2007,The Journal of …,,,,,
142,"MK Gilles, KM Ervin, J Ho, ...","Negative ion photoelectron spectroscopy of halocarbene anions (HCF-, HCCl-, HCBr-, and HCI-); photoelectron angular distributions and neutral triplet excitation …",1992,The Journal of Physical …,,,,,
87,"K Isbister, FF Mueller",Guidelines for the design of movement-based games and their relevance to HCI,2015,Human–Computer Interaction,,,,,
12,"L Rundo, R Pirrone, S Vitabile, E Sala, ...",Recent advances of HCI in decision-making tasks for optimized clinical workflows and precision medicine,2020,Journal of biomedical …,,,,,
60,"B Miihlbauer, M Schwenk, WM Coram, KH Antonin, ...",Magnesium-L-aspartate-HCI and magnesium-oxide: bioavailability in healthy volunteers,1991,,,,,,
85,"S Fincher, J Finlay, S Greene, L Jones, ...",Perspectives on HCI patterns: concepts and tools,2003,CHI'03 extended …,,,,,
61,JJ Kaye,Evaluating experience-focused HCI,2007,CHI'07 extended abstracts on Human factors in …,,,,,
44,R Heimgärtner,Reflections on a model of culturally influenced human–computer interaction to cover cultural contexts in HCI design,2013,International Journal of Human-Computer …,,,,,
40,"S Fox, M Asad, K Lo, JP Dimond, ...","Exploring social justice, design, and HCI",2016,Proceedings of the …,,,,,
42,"V Thomas, C Remy, M Hazas, O Bates",HCI and environmental public policy: Opportunities for engagement,2017,… of the 2017 CHI Conference on …,,,,,
46,"B Knowles, O Bates, M Håkansson",This changes sustainable hci,2018,… of the 2018 CHI Conference on …,,,,,
48,"H Ekbia, B Nardi",Social inequality and HCI: The view from political economy,2016,Proceedings of the 2016 CHI Conference on Human …,,,,,
159,"A Heller, B Miller, FA Thiel",11.5% solar conversion efficiency in the photocathodically protected p‐InP/V3+‐V2+‐HCI/C semiconductor liquid junction cell,1981,Applied Physics Letters,,,,,
31,"YA Rankin, JO Thomas",Straighten up and fly right: Rethinking intersectionality in HCI research,2019,Interactions,,,,,
44,"R Talhouk, SI Ahmed, V Wulf, C Crivellaro, ...",Refugees and HCI SIG: The role of HCI in responding to the refugee crisis,2016,Proceedings of the …,,,,,
21,"M Jeon, R Fiebrink, EA Edmonds, D Herath","From rituals to magic: Interactive art and HCI of the past, present, and future",2019,International Journal of …,,,,,
89,D Benyon,The new HCI? Navigation of information space,2001,Knowledge-based systems,,,,,
28,V Kaptelinin,Technology and the givens of existence: Toward an existential inquiry framework in HCI research,2018,Proceedings of the 2018 CHI Conference on Human …,,,,,
49,"P Joshi, MY Lee",High content imaging (HCI) on miniaturized three-dimensional (3D) cell cultures,2015,Biosensors,,,,,
18,"L Wilcox, B DiSalvo, D Henneman, ...",Design in the HCI classroom: Setting a research agenda,2019,Proceedings of the 2019 on …,,,,,
36,"E Churchill, J Preece, A Bowser",Developing a living HCI curriculum to support a global community,2014,CHI'14 Extended Abstracts on Human …,,,,,
55,"T Issa, P Isaias",Usability and human computer interaction (HCI),2015,Sustainable design,,,,,
147,E Hollnagel,The phenotype of erroneous actions: Implications for HCI design,1991,Human-computer interaction and complex systems,,,,,
52,"PK Chilana, AJ Ko, J Wobbrock",From user-centered to adoption-centered design: a case study of an HCI research innovation becoming a product,2015,Proceedings of the 33rd Annual ACM …,,,,,
16,"M Koelle, S Ananthanarayan, S Boll","Social acceptability in HCI: A survey of methods, measures, and design strategies",2020,… of the 2020 CHI Conference on …,,,,,
57,ES Poole,HCI and mobile health interventions: how human–computer interaction can contribute to successful mobile health interventions,2013,Translational behavioral medicine,,,,,
56,"C Sas, IE Khairuddin",Exploring trust in Bitcoin technology: a framework for HCI research,2015,Proceedings of the Annual Meeting of the …,,,,,
29,"K Spiel, O Keyes, P Barlas",Patching gender: Non-binary utopias in HCI,2019,Extended Abstracts of the 2019 CHI …,,,,,
61,"KE Culley, P Madhavan",A note of caution regarding anthropomorphism in HCI agents,2013,Computers in Human Behavior,,,,,
11,"M Prpa, S Fdili-Alaoui, T Schiphorst, ...",Articulating experience: reflections from experts applying micro-phenomenology to design research in HCI,2020,Proceedings of the 2020 …,,,,,
67,"A Seffah, MC Desmarais, E Metzker","HCI, usability and software engineering integration: present and future",2005,Human-centered software …,,,,,
65,"V Kaptelinin, B Nardi, S Bødker, J Carroll, ...",Post-cognitivist HCI: second-wave theories,2003,CHI'03 extended …,,,,,
25,A Blandford,HCI for health and wellbeing: challenges and opportunities,2019,International journal of human-computer studies,,,,,
22,"N Terzimehić, R Häuslschmid, H Hussmann, ...",A Review & Analysis of Mindfulness Research in HCI: Framing Current Lines of Research and Future Opportunities,2019,Proceedings of the …,,,,,
42,"M Balaam, J Robertson, G Fitzpatrick, R Say, ...",Motherhood and HCI,2013,CHI'13 extended …,,,,,
76,"G Button, W Sharrock",Studies of Work and the Workplace in HCI: Concepts and Techniques,2009,Synthesis Lectures on Human …,,,,,
43,"S Jaroszewski, D Lottridge, OL Haimson, ...",""" Genderfluid"" or"" Attack Helicopter"" Responsible HCI Research Practice with Non-binary Gender Variation in Online Communities",2018,Proceedings of the 2018 …,,,,,
56,"B Knowles, L Blair, P Coulton, M Lochrie",Rethinking plan A for sustainable HCI,2014,Proceedings of the SIGCHI …,,,,,
18,"K Spiel, K Gerling, CL Bennett, E Brulé, ...",Nothing about us without us: Investigating the role of critical disability studies in hci,2020,Extended Abstracts of …,,,,,
55,"B Brown, A Weilenmann, D McMillan, ...",Five provocations for ethical HCI research,2016,Proceedings of the 2016 …,,,,,
69,N Tractinsky,A few notes on the study of beauty in HCI,2004,Human–Computer Interaction,,,,,
46,"M Obrist, C Velasco, C Vi, N Ranasinghe, A Israr, ...","Sensing the future of HCI: touch, taste, and smell user interfaces",2016,interactions,,,,,
6,"S Erete, YA Rankin, JO Thomas",I can't breathe: Reflections from black women in CSCW and HCI,2021,Proceedings of the ACM on Human …,,,,,
45,"AMB Duarte, N Brendel, A Degbelo, ...",Participatory design and participatory research: An HCI case study with young forced migrants,2018,ACM Transactions on …,,,,,
37,"J Bardzell, S Bardzell",Humanistic Hci,2016,Interactions,,,,,
27,"J Bardzell, S Bardzell, A Lazar, NM Su",(Re-) framing menopause experiences for HCI and design,2019,… of the 2019 CHI Conference on …,,,,,
63,"M Carter, J Downs, B Nansen, M Harrop, ...",Paradigms of games research in HCI: a review of 10 years of research at CHI,2014,Proceedings of the first …,,,,,
122,"D Noy, Y Yeshurun",Method and system for implicitly resolving pointing ambiguities in human-computer interaction (HCI),2005,"US Patent 6,907,581",,,,,
20,"A Lucero, A Desjardins, C Neustaedter, ...",A sample of one: First-person research methods in HCI,2019,… Publication of the 2019 …,,,,,
59,"C Crivellaro, A Taylor, V Vlachokyriakos, ...","Re-Making Places: HCI,'Community Building'and Change",2016,Proceedings of the …,,,,,
28,"C Remy, O Bates, A Dix, V Thomas, M Hazas, ...",Evaluation beyond usability: Validating sustainable HCI research,2018,Proceedings of the …,,,,,
64,M Zajicek,Aspects of HCI research for older people,2006,Universal Access in the Information Society,,,,,
106,"E Folmer, M van Welie, J Bosch",Bridging patterns: An approach to bridge gaps between SE and HCI,2006,Information and Software Technology,,,,,
42,"J Waycott, G Wadley, S Schutt, A Stabolidis, ...",The Challenge of Technology Research in Sensitive Settings: Case Studies in'ensitive HCI',2015,Proceedings of the …,,,,,
49,"K O'Leary, JO Wobbrock, EA Riskin",Q-Methodology as a Research and Design Tool for HCI,2013,Proceedings of the SIGCHI …,,,,,
86,"A El Ouafi, B Hammouti, H Oudda, S Kertit, ...",New bipyrazole derivatives as effective inhibitors for the corrosion of mild steel in 1M HCI medium,2002,… corrosion methods and …,,,,,
65,P Dourish,Embodied interaction: Exploring the foundations of a new approach to HCI,1999,"Unpublished paper, on-line: http://www. ics. uci. edu …",,,,,
55,"S Kuznetsov, AS Taylor, T Regan, N Villar, ...",At the seams: DIYbio and opportunities for HCI,2012,Proceedings of the …,,,,,
45,NS Dalton,Neurodiversity & HCI,2013,CHI'13 Extended Abstracts on Human Factors in …,,,,,
19,"L Colusso, R Jones, SA Munson, G Hsieh",A translational science model for HCI,2019,Proceedings of the 2019 CHI …,,,,,
9,"M Wong-Villacres, A Alvarado Garcia, ...",Reflections from the classroom and beyond: Imagining a decolonized hci education,2020,Extended Abstracts of the …,,,,,
11,"F Mueller, D Young",10 Lenses to Design Sports-HCI,2018,Foundations and Trends® in Human …,,,,,
28,"J Cruz-Benito, FJ Garcia-Penalvo, R Theron",Analyzing the software architectures supporting HCI/HMI processes through a systematic review of the literature,2019,Telematics and Informatics,,,,,
43,"A Calero Valdez, M Ziefle, K Verbert","HCI for recommender systems: the past, the present and the future",2016,… of the 10th ACM Conference on …,,,,,
24,"T Gayler, C Sas, V Kalnikaite",Taste your emotions: An exploration of the relationship between taste and emotional experience for HCI,2019,Proceedings of the 2019 on Designing …,,,,,
57,"T Clemmensen, K Roese",An overview of a decade of journal publications about culture and human-computer interaction (HCI),2009,IFIP Working Conference on Human Work …,,,,,
62,"M Kamppuri, R Bednarik, M Tukiainen",The expanding focus of HCI: case culture,2006,… of the 4th Nordic conference on …,,,,,
53,P Cairns,HCI... not as it should be: inferential statistics in HCI research,2007,Proceedings of HCI 2007 The 21st British HCI Group …,,,,,
90,E Pietriga,A toolkit for addressing hci issues in visual language environments,2005,2005 IEEE Symposium on Visual Languages and …,,,,,
58,K Lyytinen,HCI research: Future directions that matter,2010,AIS Transactions on Human-Computer Interaction,,,,,
16,M Nelimarkka,… Research on Participation in Democratic Decision-Making Presented at SIGCHI Conferences. Toward an Improved Trading Zone Between Political Science and HCI,2019,Proceedings of the ACM on Human-Computer …,,,,,
74,"D Fallman, J Waterworth",Dealing with user experience and affective evaluation in hci design: A repertory grid approach,2005,"Workshop Paper, CHI",,,,,
30,"C Frauenberger, AS Bruckman, C Munteanu, ...",Research Ethics in HCI: A town hall meeting,2017,Proceedings of the …,,,,,
46,"P Koutsabasis, S Vosinakis",Rethinking HCI education for design: problem-based learning and virtual worlds at an HCI design studio,2012,International Journal of Human …,,,,,
66,"J Bardzell, S Bardzell",Interaction criticism: a proposal and framework for a new discipline of HCI,2008,CHI'08 Extended Abstracts on Human Factors in …,,,,,
59,"R Poppe, R Rienks, B van Dijk",Evaluating the future of HCI: challenges for the evaluation of emerging applications,2007,Artifical Intelligence for Human Computing,,,,,
42,"MS Hasan, H Yu",Innovative developments in HCI and future trends,2017,International Journal of Automation and Computing,,,,,
54,"P Dragicevic, F Chevalier, S Huot",Running an HCI experiment in multiple parallel universes,2014,CHI'14 Extended Abstracts on Human …,,,,,
74,"E Efthimiou, SE Fotinea",GSLC: creation and annotation of a Greek sign language corpus for HCI,2007,International Conference on Universal Access in …,,,,,
50,"V Tsaknaki, Y Fernaeus",Expanding on Wabi-Sabi as a design resource in HCI,2016,Proceedings of the 2016 CHI Conference on …,,,,,
55,A Faiola,The design enterprise: Rethinking the HCI education paradigm,2007,Design Issues,,,,,
75,"A Stabholz, J Kettering, R Aprecio, ...",Antimicrobial properties of human dentin impregnated with tetracycline HCI or chlorhexidine: An in vitro study,1993,Journal of clinical …,,,,,
46,"L Colusso, CL Bennett, G Hsieh, ...",Translational resources: Reducing the gap between academic research and HCI practice,2017,Proceedings of the 2017 …,,,,,
49,"B Grimpe, M Hartswood, M Jirotka",Towards a closer dialogue between policy and practice: responsible design in HCI,2014,Proceedings of the SIGCHI …,,,,,
59,"B Raj, K Kalgaonkar, C Harrison, ...",Ultrasonic doppler sensing in hci,2012,IEEE Pervasive …,,,,,
52,"JH Choi, E Blevis",HCI & sustainable food culture: a design framework for engagement,2010,Proceedings of the 6th Nordic Conference on Human …,,,,,
79,"N Orio, N Schnell, MM Wanderley",Input devices for musical expression: borrowing tools from HCI,2020,arXiv preprint arXiv:2010.01571,,,,,
1,"CD Whitney, T Naval, E Quepons, S Singh, ...",HCI Tactics for Politics from Below: Meeting the Challenges of Smart Cities,2021,Proceedings of the …,,,,,
38,NJ Bidwell,Decolonising HCI and interaction design discourse: some considerations in planning AfriCHI,2016,"XRDS: Crossroads, The ACM Magazine for Students",,,,,
102,"JL Davis, RL Smith",Painful peripheral diabetic neuropathy treated with venlafaxine HCI extended release capsules,1999,Diabetes Care,,,,,
53,"P Masci, P Oladimeji, Y Zhang, P Jones, ...",PVSio-web 2.0: Joining PVS to HCI,2015,… on Computer Aided …,,,,,
79,DL Cogburn,HCI in the so-called developing world: what's in it for everyone,2003,Interactions,,,,,
58,O Špakov,Comparison of eye movement filters used in HCI,2012,Proceedings of the symposium on eye tracking …,,,,,
36,"S Breslin, B Wadhwa",Exploring nuanced gender perspectives within the HCI community,2014,Proceedings of the india hci 2014 conference on …,,,,,
26,"D Thakkar, N Sambasivan, P Kulkarni, ...",The unexpected entry and exodus of women in computing and HCI in India,2018,Proceedings of the …,,,,,
31,"S Ramkumar, KS Kumar, ...",A feasibility study on eye movements using electrooculogram based HCI,2017,2017 International …,,,,,
61,"G Riva, J Waterworth, D Murray",Interacting with Presence: HCI and the Sense of Presence in Computer-mediated Environments,2014,,,,,,
43,"A Noyman, T Holtz, J Kröger, JR Noennig, ...",Finding places: HCI platform for public participation in refugees' accommodation process,2017,Procedia computer …,,,,,
85,W Newman,"A preliminary analysis of the products of HCI research, using pro forma abstracts",1994,Proceedings of the SIGCHI conference on Human …,,,,,
51,"D Kondermann, R Nair, K Honauer, ...",The hci benchmark suite: Stereo and flow ground truth with uncertainties for urban autonomous driving,2016,Proceedings of the …,,,,,
23,"C Murad, C Munteanu, BR Cowan, ...",Revolution or evolution? Speech interaction and HCI design guidelines,2019,IEEE Pervasive …,,,,,
10,"YA Rankin, JO Thomas, NM Joseph",Intersectionality in HCI: Lost in translation,2020,Interactions,,,,,
31,"B Shneiderman, C Plaisant, M Cohen, S Jacobs, ...",Grand challenges for HCI researchers,2016,interactions,,,,,
29,"C Sturm, A Oh, S Linxen, J Abdelnour Nocera, ...",How WEIRD is HCI? Extending HCI principles to other countries and cultures,2015,Proceedings of the 33rd …,,,,,
17,"M Sturdee, J Lindley",Sketching & drawing as future inquiry in HCI,2019,Proceedings of the Halfway to the Future …,,,,,
48,GR Hayes,Knowing by doing: action research as an approach to HCI,2014,Ways of Knowing in HCI,,,,,
53,AA Ozok,Survey design and implementation in HCI,2007,The human-computer interaction handbook,,,,,
52,"H Müller, A Sedley, E Ferrall-Nunge",Survey research in HCI,2014,Ways of Knowing in HCI,,,,,
74,"E Shehan, WK Edwards",Home networking and HCI: What hath God wrought?,2007,Proceedings of the SIGCHI conference on …,,,,,
54,"I Li, A Dey, J Forlizzi, K Höök, Y Medynskiy","Personal informatics and HCI: design, theory, and social implications",2011,CHI'11 Extended Abstracts …,,,,,
43,"C DiSalvo, A Light, T Hirsch, CA Le Dantec, ...","HCI, communities and politics",2010,CHI'10 Extended …,,,,,
19,"K Inkpen, S Chancellor, M De Choudhury, ...",Where is the human? Bridging the gap between AI and HCI,2019,Extended abstracts of …,,,,,
37,"J Abdelnour-Nocera, T Clemmensen, ...",Reframing HCI through local and indigenous perspectives,2013,International Journal of …,,,,,
48,"CM MacDonald, ME Atwood","Changing perspectives on evaluation in HCI: past, present, and future",2013,CHI'13 extended abstracts on human …,,,,,
59,"MJ Muller, S Kogan",Grounded theory method in HCI and CSCW,2010,Cambridge: IBM Center for Social Software,,,,,
27,"EF Duarte, MCC Baranauskas",Revisiting the three HCI waves: A preliminary discussion on philosophy of science and research paradigms,2016,… of the 15th Brazilian Symposium on …,,,,,
57,"D Birchfield, H Thornburg, ...","Embodiment, multimodality, and composition: convergent themes across HCI and education for mixed-reality learning environments",2008,Advances in Human …,,,,,
62,"SJ George, DT Vasudevan","Studies on the preparation, characterization, and solubility of 2-HP-β-cyclodextrin-meclizine HCI inclusion complexes",2012,Journal of young Pharmacists,,,,,
10,"SE Fox, V Khovanskaya, C Crivellaro, N Salehi, ...",Worker-Centered Design: Expanding HCI Methods for Supporting Labor,2020,Extended Abstracts of …,,,,,
49,"S Follmer, D Leithinger, H Ishii, A Olwal",Methods and apparatus for jammable HCI interfaces,2016,"US Patent 9,448,066",,,,,
15,"C Crivellaro, R Anderson, D Lambton-Howard, ...",Infrastructuring public service transformation: Creating collaborative spaces between communities and institutions through HCI research,2019,ACM Transactions on …,,,,,
23,"R Frankjær, P Dalsgaard",Understanding craft-based inquiry in HCI,2018,… of the 2018 Designing Interactive Systems …,,,,,
20,"F Gutiérrez, NN Htun, F Schlenz, A Kasimati, ...",A review of visualisations in agricultural decision support systems: An HCI perspective,2019,… and Electronics in …,,,,,
65,"BR Constantz, B Curtis",Methods and Systems for Utilization of HCI,2011,"US Patent App. 12/888,613",,,,,
59,"EP Rozanski, AR Haake",The many facets of HCI,2003,Proceedings of the 4th conference on …,,,,,
40,"JM Entwistle, MK Rasmussen, N Verdezoto, ...",Beyond the individual: The contextual wheel of practice as a research framework for sustainable HCI,2015,Proceedings of the 33rd …,,,,,
73,"RC Humphreys, JM Rosen",Stably Transfected HCI I Cells Provide an in Vitro and in Vivo Model System for Studying Wnt Gene Function1,1997,ABSENCE OF P53 IN A MOUSE …,,,,,
56,M Kuniavsky,User experience and HCI,2007,The Human-Computer Interaction Handbook,,,,,
59,"PD Adamczyk, MB Twidale",Supporting multidisciplinary collaboration: requirements from novel HCI education,2007,Proceedings of the SIGCHI conference on …,,,,,
78,"Z Zeng, J Tu, B Pianfetti, M Liu, T Zhang, ...",Audio-visual affect recognition through multi-stream fused HMM for HCI,2005,2005 IEEE Computer …,,,,,
18,"A Søgaard Neilsen, RL Wilson",Combining e‐mental health intervention development with human computer interaction (HCI) design to enhance technology‐facilitated recovery for people with …,2019,International journal of mental …,,,,,
29,"MBH Wiem, Z Lachiri",Emotion classification in arousal valence model using MAHNOB-HCI database,2017,International Journal of Advanced …,,,,,
53,"S Ruffieux, D Lalanne, E Mugellini",ChAirGest: a challenge for multimodal mid-air gesture recognition for close HCI,2013,Proceedings of the 15th ACM on …,,,,,
35,V Kostakos,The big hole in HCI research,2015,interactions,,,,,
46,"C Putnam, B Kolko, S Wood",Communicating about users in ICTD: leveraging HCI personas,2012,… of the Fifth International Conference on …,,,,,
81,"Y Wu, TS Huang","Human hand modeling, analysis and animation in the context of HCI",1999,Proceedings 1999 International Conference …,,,,,
9,"A Oleson, M Solomon, AJ Ko",Computing students' learning difficulties in HCI education,2020,Proceedings of the 2020 CHI Conference …,,,,,
18,"A Boem, GM Troiano",Non-Rigid HCI: A review of deformable interfaces and input,2019,Proceedings of the 2019 on Designing Interactive …,,,,,
22,"A McPherson, F Morreale, J Harrison","Musical instruments for novices: Comparing NIME, HCI and crowdfunding approaches",2019,New directions in music and human …,,,,,
75,"R Krepki, G Curio, B Blankertz, KR Müller",Berlin brain–computer interface—The HCI communication channel for discovery,2007,International Journal of Human …,,,,,
49,SP Overmyer,Revolutionary vs. evolutionary rapid prototyping: balancing software productivity and HCI design concerns,1991,Proceedings of the 4th International Conference on …,,,,,
18,"R Talhouk, A Bustamante, K Aal, A Weibert, ...",HCI and refugees: Experiences and reflections,2018,Interactions,,,,,
47,"H Faste, N Rachmel, R Essary, E Sheehan","Brainstorm, Chainstorm, Cheatstorm, Tweetstorm: new ideation strategies for distributed HCI design",2013,Proceedings of the sigchi …,,,,,
44,B Park,Psychophysiology as a tool for HCI research: promises and pitfalls,2009,International Conference on Human-Computer …,,,,,
40,"S Kuznetsov, W Odom, V Moulder, C DiSalvo, ...","HCI, politics and the city: engaging with urban grassroots movements for reflection and action",2011,CHI'11 Extended …,,,,,
136,"SI Wada, A Starr",Generation of auditory brain stem responses (ABRs). I. Effects of injection of a local anesthetic (procaine HCI) into the trapezoid body of guinea pigs and cat.,1983,Electroencephalography and clinical …,,,,,
16,"R Bellini, A Strohmayer, E Alabdulqader, ...","Feminist HCI: taking stock, moving forward, and engaging community",2018,Extended Abstracts of …,,,,,
32,"L Bao, J Li, Z Xing, X Wang, X Xia, B Zhou",Extracting and analyzing time-series HCI data from screen-captured task videos,2017,Empirical Software …,,,,,
32,"A Lampinen, B Brown",Market design for HCI: Successes and failures of peer-to-peer exchange platforms,2017,Proceedings of the 2017 CHI Conference on …,,,,,
17,"P Pataranutaporn, T Ingalls, E Finn","Biological HCI: towards integrative interfaces between people, computer, and biological materials",2018,Extended Abstracts of the 2018 CHI …,,,,,
45,"MP Aylett, PO Kristensson, S Whittaker, ...",None of a CHInd: relationship counselling for HCI and speech technology,2014,CHI'14 Extended …,,,,,
20,"TG Gonçalves, KM Oliveira, C Kolski",Identifying HCI approaches to support CMMI-DEV for interactive system development,2018,Computer Standards & Interfaces,,,,,
9,"J Benerradi, H A. Maior, A Marinescu, J Clos, ...",Exploring machine learning approaches for classifying mental workload using fNIRS data from HCI tasks,2019,Proceedings of the …,,,,,
23,"J Jacobs, D Mellis, A Zoran, C Torres, J Brandt, ...",Digital craftsmanship: HCI takes on technology as an expressive medium,2016,Proceedings of the …,,,,,
34,"J Robertson, M Kaptein",Modern statistical methods for HCI,2016,,,,,,
22,"S Gupta, A Weston, J Bearrs, T Thode, ...",Reversible lysine-specific demethylase 1 antagonist HCI-2509 inhibits growth and decreases c-MYC in castration-and docetaxel-resistant prostate cancer …,2016,Prostate cancer and …,,,,,
39,"C Nunes, PF Butzen, AI Reis, RP Ribas","BTI, HCI and TDDB aging impact in flip–flops",2013,Microelectronics Reliability,,,,,
78,"V Roto, A Oulasvirta",Need for non-visual feedback with long response times in mobile HCI,2005,Special interest tracks and posters of the 14th …,,,,,
35,"L Caballero, AM Moreno, A Seffah",Persona as a tool to involving human in agile methods: contributions from hci and marketing,2014,International Conference on Human …,,,,,
58,"C Macaulay, G Jacucci, S O'Neill, T Kankaineen, ...",The emerging roles of performance within HCI and interaction design,2006,,,,,,
51,"WJ Mitchell, CC Ho, H Patel, KF MacDorman",Does social desirability bias favor humans? Explicit–implicit evaluations of synthesized speech support a new HCI model of impression management,2011,Computers in Human …,,,,,
57,"WT Hsu, MH Sosnick",Evaluating Interactive Music Systems: An HCI Approach.,2009,NIME,,,,,
43,"A Smith, A Joshi, Z Liu, L Bannon, J Gulliksen, ...",Institutionalizing HCI in Asia,2007,IFIP Conference on …,,,,,
49,"M Borazan, A Karalezli, YA Akova, A Akman, ...","Efficacy of olopatadine HCI 0.1%, ketotifen fumarate 0.025%, epinastine HCI 0.05%, emedastine 0.05% and fluorometholone acetate 0.1% ophthalmic solutions for …",2009,Acta …,,,,,
54,"R Beale, C Peter",The role of affect and emotion in HCI,2008,Affect and emotion in human-computer interaction,,,,,
59,"HS Smallman, MS John",CHEX (Change History EXplicit): New HCI concepts for change awareness,2003,Proceedings of the Human Factors …,,,,,
56,"P Chaparala, J Shibley, P Lim",Threshold voltage drift in PMOSFETS due to NBTI and HCI,2000,2000 IEEE International …,,,,,
45,"HK Väätäjä, EK Pesonen",Ethical issues and guidelines when conducting HCI studies with animals,2013,CHI'13 Extended Abstracts on Human Factors …,,,,,
25,"B Brown, S Bødker, K Höök",Does HCI scale? Scale hacking and the relevance of HCI,2017,Interactions,,,,,
61,"R Pausch, R Gold, T Skelly, D Thiel",What HCI designers can learn from video game designers,1994,Conference companion on human …,,,,,
12,"E Corbett, Y Loukissas",Engaging gentrification as a social justice issue in HCI,2019,Proceedings of the 2019 chi conference on …,,,,,
14,RHR Harper,The Role of HCI in the Age of AI,2019,International Journal of Human–Computer …,,,,,
25,"R Velt, S Benford, S Reeves",A survey of the trajectories conceptual framework: Investigating theory use in HCI,2017,Proceedings of the 2017 CHI conference …,,,,,
35,"S Heitlinger, N Bryan-Kinns, J Jefferies",Sustainable HCI for grassroots urban food-growing communities,2013,Proceedings of the 25th …,,,,,
23,"H Jiang, SH Shin, X Liu, X Zhang, ...",The impact of self-heating on HCI reliability in high-performance digital circuits,2017,IEEE Electron Device …,,,,,
69,"S MOHAMED, R HUSSEIN","EFFECT of LOW TEMPERATURE BLANCHING, CYSTEINE‐HCi, N‐ACETYL‐L‐CYSTEINE, Na METABISULPHITE and DRYING TEMPERATURES ON the …",1994,Journal of Food Processing and …,,,,,
1,"S Robinson, NJ Bidwell, R Cibin, C Linehan, ...",Rural Islandness as a Lens for (Rural) HCI,2021,ACM Transactions on …,,,,,
25,"J Norton, A Raturi, B Nardi, S Prost, S McDonald, ...",A grand challenge for HCI: food+ sustainability,2017,interactions,,,,,
29,"R Wu, S Kawai, Y Seo, K Kimura, S Sato, ...",19.5 An HCI-healing 60GHz CMOS transceiver,2015,… Solid-State Circuits …,,,,,
38,"C Schlünder, S Aresu, G Georgakos, ...",HCI vs. BTI?-Neither one's out,2012,2012 IEEE …,,,,,
18,"RY Wong, V Khovanskaya",Speculative design in HCI: from corporate imaginations to critical orientations,2018,New Directions in Third Wave Human …,,,,,
69,J Bardzell,"Creativity in amateur multimedia: Popular culture, critical theory, and HCI",2007,Human Technology: An Interdisciplinary Journal on …,,,,,
17,"L Rello, E Romero, M Rauschenberger, A Ali, ...",Screening dyslexia for English using HCI measures and machine learning,2018,Proceedings of the …,,,,,
45,"A Brown, M Evans, C Jay, M Glancy, R Jones, ...",HCI over multiple screens,2014,CHI'14 Extended …,,,,,
42,"C Remy, EM Huang",Addressing the obsolescence of end-user devices: Approaches from the field of sustainable HCI,2015,ICT innovations for sustainability,,,,,
36,"E Giaccardi, E Karana, H Robbins, ...",Growing traces on objects of daily use: A product design perspective for HCI,2014,Proceedings of the 2014 …,,,,,
4,"T Almeida, M Balaam, S Bardzell, LK Hansen",Introduction to the Special Issue on HCI and the Body: Reimagining Women's Health,2020,,,,,,
4,"OC Demiroglu, FS Saygili-Araci, A Pacal, CM Hall, ...",Future Holiday Climate Index (HCI) performance of urban and beach destinations in the Mediterranean,2020,Atmosphere,,,,,
26,"M Kay, S Haroz, S Guha, P Dragicevic",Special interest group on transparent statistics in hci,2016,Proceedings of the 2016 CHI …,,,,,
24,"P Klasnja, EB Hekler, EV Korinek, J Harlow, ...",Toward usable evidence: optimizing knowledge accumulation in HCI research on health behavior change,2017,Proceedings of the …,,,,,
18,"G Kannabiran, AA Ahmed, M Wood, M Balaam, ...",Design for sexual wellbeing in HCI,2018,Extended Abstracts of …,,,,,
34,"P Marshall, A Antle, EVD Hoven, Y Rogers",Introduction to the special issue on the theory and practice of embodied interaction in HCI and interaction design,2013,,,,,,
43,"S Rosenbaum, G Cockton, K Coyne, M Muller, ...",Focus groups in HCI: wealth of information or waste of resources?,2002,CHI'02 extended …,,,,,
