Cites,Authors,Title,Year,Source
33,"F Bodart, AM Hennebert, JM Leheureux, I Sacré…",Architecture elements for highly-interactive business-oriented applications,1993,… -Computer Interaction
33,CH Lewis,A research agenda for the nineties in human-computer interaction,1990,Human-Computer Interaction
33,"JE Bardram, OW Bertelsen",Supporting the development of transparent interaction,1995,Human-Computer Interaction
32,R Catrambone,Specific versus general procedures in instructions,1990,Human-Computer Interaction
32,A Borning,Graphically defining new building blocks in ThingLab,1986,Human-Computer Interaction
32,"K Cheverst, A Dix, D Fitton, M Rouncefield…",Exploring awareness related messaging through two situated-display-based systems,2007,… Computer Interaction
32,"RM Baecker, J Grudin, WAS Buxton…",Groupware and computer-supported cooperative work,1995,… -computer interaction
32,RM Baecker,Towards a characterization of graphical interaction,1987,Human-computer interaction
32,"J Anstice, T Bell, A Cockburn…",The design of a pen-based musical input system,1996,"… -Human Interaction, …"
32,"M Sutterer, O Droegehorn…",Upos: User profile ontology with situation-dependent preferences support,2008,"… -Human Interaction, 2008 …"
31,"D Benyon, M Imaz",Metaphors and models: conceptual foundations of representations in interactive systems development,1999,Human-Computer Interaction
31,"DV Beard, DK Smith, KM Denelsbeck",Quick and dirty GOMS: A case study of computed tomography interpretation,1996,Human-computer interaction
31,"F Gaunet, X Briffault",Exploring the functional specifications of a localized wayfinding verbal aid for blind pedestrians: Simple and structured urban areas,2005,Human-Computer Interaction
31,"V Bellotti, A Blanford, D Duke, D MacLean…",Interpersonal access control in computer-mediated communications: A systematic analysis of the design space,1996,… -Computer Interaction
31,"M Wattenberg, SL Rohall, D Gruen…",E-mail research: targeting the enterprise,2005,… –Computer Interaction
31,J Prümper,Software-evaluation based upon ISO 9241 part 10,1993,Human Computer Interaction
31,"L Harvey, J Anderson",Transfer of declarative knowledge in complex information-processing domains,1996,Human-computer interaction
30,"A Sears, JA Jacko",Understanding the relation between network quality of service and the usability of distributed multimedia documents,2000,Human-Computer Interaction
30,N Tractinsky,A few notes on the study of beauty in HCI,2004,Human–Computer Interaction
30,M Hassenzahl,Beautiful objects as an extension of the self: A reply,2004,Human-Computer Interaction
30,"G Fischer, B Reeves","Beyond intelligent interfaces: exploring, analyzing, and creating success models of cooperative problem solving",1995,Human-computer interaction
29,"T Nyerges, TJ Moore, R Montejano…",Developing and using interaction coding systems for studying groupware use,1998,… -Computer Interaction
29,"GM Olson, TP Moran",Commentary on Damaged merchandise?,1998,Human-Computer Interaction
29,"FJ Maarse, LRB Schomaker, HL Teulings",Automatic identification of writers,1988,Human-Computer Interaction
29,"C Carpineto, G Romano",ULYSSES: a lattice-based multiple interaction strategy retrieval interface,1995,Human-Computer Interaction
29,EW Duggan,Generating systems requirements with facilitated group techniques,2003,Human-Computer Interaction
29,"C Lewis, J Rieman",Getting to know users and their tasks,1995,Human-computer interaction
29,"DM Lane, HA Napier, RR Batsell…",Predicting the skilled use of hierarchical menus with the keystroke-level model,1993,… -Computer Interaction
29,"P Sanderson, J Anderson…",Extending ecological interface design to auditory displays,2000,… -Human Interaction
29,"AE Blandford, JK Hyde, TRG Green…",Scoping analytical usability evaluation methods: a case study,2008,… –Computer Interaction
28,"D Tudhope, P Beynon-Davies, H Mackay",Prototyping praxis: constructing computer systems and building belief,2000,Human-Computer Interaction
28,H Iwata,Haptic interface,1999,Human-Computer Interaction
28,"A Barreto, J Zhai, M Adjouadi",Non-intrusive physiological monitoring for automated stress detection in human-computer interaction,2007,Human–Computer Interaction
28,"M Moyle, A Cockburn",Analysing mouse and pen flick gestures,2002,… -NZ Symposium On Computer-Human Interaction
27,EF Strommen,Is it easier to hop or walk? development issues in interface design,1993,Human-Computer Interaction
27,"MJ Kim, ML Maher",The impact of tangible user interfaces on designers' spatial cognition,2008,Human–Computer Interaction
26,"MB Skov, J Stage",Supporting problem identification in usability evaluations,2005,… Australia conference on Computer-Human Interaction …
26,"DJ Ward, AF Blackwell, DJC MacKay",Dasher: A gesture-driven data entry interface for mobile computing,2002,… –Computer Interaction
26,"JB Smith, DK Smith, E Kupstas",Automated protocol analysis,1993,Human-Computer Interaction
26,DM Frohlich,Beauty as a design prize,2004,Human–Computer Interaction
25,"G Fischer, AC Lemke",Construction kits and design environments: steps toward human problem-domain communication,1987,Human-Computer Interaction
25,"KP Vaubel, CF Gettys",Inferring user expertise for adaptive interfaces,1990,Human-Computer Interaction
25,"L Shupp, C Andrews, M Dickey-Kurdziolek…",Shaping the display of the future: The effects of display size and curvature on user performance and insights,2009,… Computer Interaction
24,"P Baudisch, D Tan, D Steedly, E Rudolph…",Panoramic viewfinder: providing a real-time preview to help users avoid flaws in panoramic pictures,2005,… -Human Interaction: …
24,"MH Tran, Y Yang, GK Raikundalia",Supporting awareness in instant messaging: an empirical study and mechanism design,2005,… on Computer-Human Interaction: …
24,"DM Hilbert, DF Redmiles",Large-scale collection of usage data to inform design,2001,Human-Computer Interaction— …
24,J Preece,"Y. Rogers H., Sharp D., Benyon D., Holland S. and Carey T",1994,Human-computer interaction
24,"R Khaled, D Mackay, R Biddle, J Noble…",A lightweight web-based case tool for sequence diagrams,2002,… -Human Interaction
24,"HT Zwahlen, AL Hartmann, SL Rangarajulu",Effects of rest breaks in continuous VDT work on visual and musculoskeletal comfort/discomfort and on performance,1984,Human-Computer Interaction: …
24,D Tatar,The design tensions framework,2007,Human–Computer Interaction
24,"MA Nacenta, C Gutwin, D Aliakseyeu…",There and back again: cross-display object movement in multi-display environments,2009,… Computer Interaction
23,"JM Pearce, S Howard",Designing for flow in a complex activity,2004,Computer Human Interaction
23,"H Ryu, K Cruz",LetterEase: Improving text entry on a handheld device via letter reassignment,2005,… Australia conference on Computer-Human Interaction: …
23,P Lucas,Mobile devices and mobile data-issues of identity and reference,2001,Human–Computer Interaction
23,"SK Card, TP Moran, A Newell",The Psychology of Human-Computer Interaction,1983,Human-Computer Interaction
23,"SL Sauter, LJ Chapman, SJ Knutson",Improving VDT work: causes and control of health concerns in VDT use,1995,
23,"W Buxton, SA Bly, S Frysinger, D Lunney…",Communicating with sound,1987,… -computer interaction
23,P Brusilovsky,Explanatory visualization in an educational programming environment: connecting examples with general knowledge,1994,Human-Computer Interaction
23,BW Boehm,A spiral model of software development and enhancement,1995,Human-computer interaction
23,"L Hult, M Irestig, J Lundberg",Design perspectives,2006,Human–Computer Interaction
23,S Bødker,Historical analysis and conflicting perspectives—Contextualizing HCI,1993,
23,N Bianchi-Berthouze,Understanding the role of body movement in player engagement,2013,Human–Computer Interaction
22,"WD Gray, MC Salzman",Repairing damaged merchandise: A rejoinder,1998,Human–Computer Interaction
22,S Schreiber,Specification and generation of user interfaces with the boss-system,1994,Human-Computer Interaction
22,"AF Dix, J Abowd, G Beale",R. 1998,1998,Human-computer interaction
22,"DR Olsen, AF Monk, MB Curry",Algorithms for automatic dialogue analysis using propositional production systems,1995,Human-Computer Interaction
22,"MA Neerincx, HP de Greef",Cognitive support: extending human knowledge and processing capacities,1998,Human-Computer Interaction
22,"K Overbeeke, S Wensveen",Beauty in use,2004,Human–Computer Interaction
22,"A Cockburn, C Gutwin",A predictive model of human performance with scrolling and hierarchical lists,2009,Human–Computer Interaction
21,L Nevile,Adaptability and accessibility: a new framework,2005,… Australia conference on Computer-Human Interaction: …
21,"J Kjeldskov, MB Skov, J Stage",Does time heal?: a longitudinal study of usability,2005,… on Computer-Human Interaction: …
21,D Hawthorn,Training wheels for older users,2005,… Australia conference on Computer-Human Interaction: …
21,"M Mahmud, H Kurniawan",Involving psychometric tests for input device evaluation with older people,2005,… conference on Computer-Human Interaction: …
21,"L Loke, T Robertson, T Mansfield","Moving bodies, social selves: movement-oriented personas and scenarios",2005,… on Computer-Human Interaction: …
21,"DL Maulsby, IH Witten, KA Kittlitz…",Inferring graphical procedures: the compleat metarnouse,1992,… -Computer Interaction
21,CW Johnson,Literate specification: Using design rationale to support formal methods in the development of human-machine interfaces,1996,Human-Computer Interaction
21,A Monk,How and when to collect behavioural data,1987,Human-computer interaction
21,"T Berlage, A Genau",From undo to multi-user applications,1993,Human Computer Interaction
21,A Monk,The product as a fixed-effect fallacy,2004,Human-Computer Interaction
21,"J May, MP Dean, PJ Barnard",Using film cutting techniques in interface design,2003,Human-Computer Interaction
21,"M Virvou, K Kabassi",Reasoning about users' actions in a graphical user interface,2002,Human-Computer Interaction
20,"SR Klemmer, KM Everitt, JA Landay",Integrating physical and digital interactions on walls for fluid design collaboration,2008,… –Computer Interaction
20,"JC McCarthy, VC Miles, AF Monk, MD Harrison…",Text-based on-line conferencing: a conceptual and empirical analysis using a minimal prototype,1993,… -Computer Interaction
20,"SK Card, TP Moran, A Newell",The keystroke-level model for user performance time with interactive systems,1990,Human-computer interaction
20,"RL Mack, J Nielsen",Usability inspection methods: Executive summary,1995,Human-computer interaction
19,"DJ Cook, BP Bailey",Designers' use of paper and the implications for informal tools,2005,… conference on Computer-Human Interaction: …
19,"J Axup, S Viller",Augmenting travel gossip: design for mobile communities,2005,… Australia conference on Computer-Human Interaction: …
19,"M Franzke, J Rieman",Natural training wheels: Learning and transfer between two versions of a computer application,1993,Human Computer Interaction
19,O Bertelsen,Fitts' law as a design artefact: A paradigm case of theory in software design,1994,Human-Computer Interaction
19,"D Boddy, DA Buchanan",Information technology and the experience of work,1987,Human-computer interaction
19,J Wegge,"Communication via videoconference: Emotional and cognitive consequences of affective personality dispositions, seeing one's own picture, and disturbing events",2006,Human-Computer Interaction
18,"V Bruno, A Tam, J Thom",Characteristics of web applications that affect usability: a review,2005,… conference on Computer-Human Interaction: …
18,"P Isokoski, R Raisamo",Speed-accuracy measures in a population of six mice,2002,… Conference on Computer Human Interaction
18,"C Schmandt, S Marti",Active messenger: E-mail filtering and delivery in a heterogeneous network,2005,Human-Computer Interaction
18,"DS Kosbie, BA Myers",Extending programming by demonstration with hierarchical event histories,1994,
18,"JB Begole, JC Tang",Incorporating human and machine interpretation of unavailability and rhythm awareness into the design of collaborative applications,2007,Human–Computer Interaction
18,"JC McCarthy, PC Wright, AF Monk…",Concerns at work: Designing useful procedures,1998,… -Computer Interaction
18,"JA Renshaw, JE Finlay, D Tyfa…",Designing for visual influence: An eye tracking study of the usability of graphical management information,2003,… -Computer Interaction
18,"BH Thomas, PR Calder",Animating widgets in the InterViews toolkit,1995,
18,"AH Vera, BE John, R Remington…",Automating human-performance modeling at the millisecond level,2005,… -Computer Interaction
18,"RM Baecker, J Grudin, WAS Buxton…","Touch, gesture, and marking",1995,… -computer interaction
18,"P Song, S Winkler, SO Gilani, ZY Zhou",Vision-based projected tabletop interface for finger interactions,2007,Human–Computer Interaction
18,"E Stolterman, M Wiberg",Concept-driven interaction design research,2010,Human–Computer Interaction
18,"Z Hussain, M Lechner, H Milchrahm…",User interface design for a mobile multimedia application: An iterative approach,2008,"… -Human Interaction, …"
17,"MH Park, HS Park, SB Cho",Restaurant recommendation for group of people in mobile environments using probabilistic multi-criteria decision making,2008,Computer-Human Interaction
17,"T Bentley, L Johnston, K von Baggo",Evaluation using cued-recall debrief to elicit information about a user's affective experiences,2005,… on Computer-Human Interaction: …
17,"Z Fitz-Walter, D Tjondronegoro, P Wyeth",Orientation passport: using gamification to engage university students,2011,… Computer-Human Interaction …
17,"J Preece, YS Rogers","H, Benyon, D. Holland, S. & Carey, T.(1994)",1994,Human-Computer Interaction
17,TP Moran,Introduction to this special issue on context in design,1994,Human–Computer Interaction
17,F Bowe,Making computers accessible to disabled people,1987,Human-computer interaction
17,K Kautz,User participation and participatory design: Topics in computing education,1996,Human–Computer Interaction
17,"H Ryu, A Monk",Interaction unit analysis: A new interaction design framework,2009,Human–Computer Interaction
17,DA Norman,"Beauty, goodness and usability: Introduction to the special section",2004,Human-Computer Interaction
17,"SK D'Mello, A Graesser, B King",Toward Spoken Human–Computer Tutorial Dialogues,2010,Human–Computer Interaction
16,"NJ Bidwell, CP Lueg",Creating a framework for situated way-finding research,2004,Computer Human Interaction
16,"C Soriano, GK Raikundalia, J Szajman",A usability study of short message service on middle-aged users,2005,… on Computer-Human Interaction …
16,"N Christiansen, K Maglaughlin",Crossing from Physical Workplace to Virtual Workspace: Be AWARE!,2003,… -Computer Interaction …
16,"H Brunner, G Whittemore, K Ferrara, J Hsu",An assessment of written/interactive dialogue for information retrieval applications,1992,… -Computer Interaction
16,"S Link, T Schuster, P Hoyer…",Focusing graphical user interfaces in model-driven software development,2008,"… -Human Interaction, 2008 …"
16,"L Terrenghi, M Kronen, C Valle",Usability requirements for mobile service scenarios,2005,… Computer Interaction
16,WE Mackay,Triangulation within and across HCI disciplines,1998,Human-Computer Interaction
16,"J Podd, J Bunnell, R Henderson",Cost-effective computer security: Cognitive and associative passwords,1996,Computer-Human Interaction …
16,"YK Leung, MD Apperley",E3: Towards the metrication of graphical presentation techniques for large data sets,1993,Human-Computer Interaction
16,"A Dix, JA Finlay, D Abow","G. and Beale, R.(1993)",1993,Human-Computer Interaction
16,"JC Grundy, JG Hosking…",Low-level and high-level CSCW support in the Serendipity process modelling environment,1996,"… -Human Interaction, 1996 …"
15,C Myhill,Commercial success by looking for desire lines,2004,Computer Human Interaction
15,"J Johnson, TL Roberts, W Verplank, DC Smith…",The Xerox Star: A Retrospective,1995,… -computer interaction
15,"M Lew, EM Bakker, N Sebe, TS Huang",Human-computer intelligent interaction: a survey,2007,Human–Computer Interaction
15,"GM Olson, JS Olson, RE Kraut",Introduction,1992,Human Computer Interaction
15,R Kling,Controversies about computerization and the organization of white collar work,1995,Human-computer interaction
15,P Pirolli,A theory of information scent,2003,Human-computer interaction
15,"T Kontogiannis, A Shepherd",Training conditions and strategic aspects of skill transfer in a simulated process control task,1999,Human-Computer Interaction
15,"K Lyons, T Starner, B Gane",Experimental evaluations of the twiddler one-handed chording mobile keyboard,2006,Human-Computer Interaction
15,"S Oviatt, W Wahlster",Introduction to this special issue on multimodal interfaces,1997,Human–Computer Interaction
15,"T Zuiderent, BR Winthereik, M Berg",Talking about distributed communication and medicine: on bringing together remote and local actors,2003,Human–Computer Interaction
15,A Mørch,Application units: Basic building blocks of tailorable applications,1995,Human-Computer Interaction
14,SA Al-Shehri,A simple and novel method for skin detection and face locating and tracking,2004,Computer Human Interaction
14,G Garcia,High frequency SSVEPs for BCI applications,2008,Computer-Human Interaction
14,"J Murphy, J Kjeldskov, S Howard, G Shanks…",The converged appliance: I love it... but I hate it,2005,… -Human Interaction: …
14,"R Fleck, G Fitzpatrick",Reflecting on reflection: framing a design landscape,2010,… Conference of the Computer-Human Interaction …
14,JD Hollan,Intelligent object-based graphical interfaces,1984,Human-Computer Interaction
14,"GM Olson, TP Moran",Introduction to this special issue on experimental comparisons of usability evaluation methods,1998,Human-Computer Interaction
14,R Jorna,A comparison of presentation and representation: linguistic and pictorial,1988,Human-Computer Interaction
14,"M Rittenbruch, S Viller, T Mansfield",Announcing activity: Design and evaluation of an intentionally enriched awareness service,2007,Human–Computer Interaction
14,"SR Klemmer, JA Landay",Toolkit support for integrating physical and digital interactions,2009,Human–Computer Interaction
14,TV Raman,Multimodal interaction design principles for multimodal interaction,2003,"… of computer human interaction (CHI 2003), Fort …"
14,"A Dix, J Finlay, G Abowd","D & BEALE, R.(2004)",2004,Human-computer interaction
14,"JM Carroll, RL Mack","Learning to use a word processor: By doing, by thinking, and by knowing",1995,Human-computer interaction
14,"SP Robertson, JB Black",Structure and development of plans in computer text editing,1986,Human-Computer Interaction
14,"K Leichtenstern, E Andre",User-centred development of mobile interfaces to a pervasive computing environment,2008,"… in Computer-Human Interaction, …"
14,H Tolsby,Navigating in a process landscape,1993,Human-Computer Interaction
14,"NH Viet, NA Vien, SG Lee…",Obstacle avoidance path planning for mobile robot based on multi colony ant algorithm,2008,"… -Human Interaction, 2008 …"
14,"P Velagapudi, J Wang, H Wang, P Scerri…",Synchronous vs. asynchronous video in multi-robot search,2008,"… -Human Interaction, …"
14,"T McGinnis, DW Bustard, M Black…",Enhancing e-learning engagement using design patterns from computer games,2008,"… -Human Interaction, …"
14,"P Pirolli, DM Russell",Introduction to this special issue on sensemaking,2011,Human–Computer Interaction
14,NJ Bidwell,Pictures Made for Walking: Pilots & Orienteers 1,2004,"… Conference on Computer Human Interaction, …"
13,"F Dadgostar, H Ryu, A Sarrafzadeh…",Making sense of student use of nonverbal cues for intelligent tutoring systems,2005,… -Human Interaction: …
13,"M Rauterberg, C Cachin",Locating the primary attention focus of the user,1993,Human Computer Interaction
13,GW Furnas,Future design mindful of the MoRAS,2000,Human-Computer Interaction
13,NA Stanton,HUMAN-ERROR IDENTIFICATION IN HUMAN–COMPUTER INTERACTION,2002,Human-Computer Interaction
13,"K Hornbæk, E Frøkjær",A study of the evaluator effect in usability testing,2008,Human–Computer Interaction
13,"J Morkes, K Hadyn","Kernal, and Clifford I. Nass (1999),“Effects of Humor in Task-Oriented Human-Computer Interaction and Computer-Mediated Communication: A Direct Test …",1999,Human-Computer Interaction
13,"WR Reader, SJ Payne",Allocating time across multiple texts: Sampling and satisficing,2007,Human–Computer Interaction
13,MS Levin,Hierarchical components of human-computer systems,1993,Human-Computer Interaction
13,"S Kujala, M Mäntylä",Studying users for developing usable and useful products,2000,… Nordic Conference on Computer-Human Interaction
13,"SA Paul, MR Morris",Sensemaking in collaborative web search,2011,Human–Computer Interaction
13,"R Kolli, J Hennessey",Deriving the functional requirements for a concept sketching device: A case study,1993,Human Computer Interaction
12,"A Hashizume, M Kurosu, T Kaneko",The choice of communication media and the use of mobile phone among senior users and young users,2008,Computer-Human Interaction
12,"K Sutton, A Heathcote, M Bore",Implementing a web-based measurement of 3D understanding,2005,… on Computer-Human Interaction: …
12,"E Brandt, T Binder, L Malmborg, T Sokoler",Communities of everyday practice and situated elderliness as an approach to co-design for senior interaction,2010,… -Human Interaction Special …
12,"K Halskov, R Nielsen",Virtual video prototyping,2006,Human-Computer Interaction
12,"AI Wasserman, DT Shewmake",The role of prototypes in the User Software Engineering (USE) methodology,1990,Human-computer interaction
12,"F Mili, J Barr, M Harris, L Pittiglio",Nursing training: 3D game with learning objectives,2008,… Computer-Human Interaction …
12,"LC Austin, JK Liker, PL McLeod",Who controls the technology in group support systems? Determinants and consequences,1993,Human-Computer Interaction
12,RKE Bellamy,What does pseudo-code do? A psychological analysis of the use of pseudo-code by experienced programmers,1994,Human-Computer Interaction
12,B Blumenthal,Industrial design and activity theory: A new direction for designing computer-based artifacts,1995,Human-Computer Interaction
12,"M Funk, P van der Putten…",Specification for user modeling with self-observing systems,2008,"… -Human Interaction, 2008 …"
12,R Guindon,Users request help from advisory systems with simple and restricted language: Effects of real-time constraints and limited shared context,1991,Human-Computer Interaction
12,"D Hughes, J Warren, O Buyukkokten",Empirical bi-action tables: A tool for the evaluation and optimization of text-input systems. Application I: Stylus keyboards,2002,… –Computer Interaction
12,"G Demiris, M Skubic, M Rantz, J Keller…",Smart home sensors for the elderly: a model for participatory formative evaluation,2006,… -computer interaction
12,R Vertegaal,Designing awareness with attention-based groupware,1999,Human computer interaction
12,"S Ronkainen, E Koskinen, Y Liu…",Environment analysis as a basis for designing multimodal and multidevice user interfaces,2010,… –Computer Interaction
11,"SK Rhee, J Lee, MW Park",RIKI: a wiki-based knowledge sharing system for collaborative research projects,2008,Computer-Human Interaction
11,G Demming,Sony EyeToyTM: developing mental models for 3-D interaction in a 2-D gaming environment,2004,Computer Human Interaction
11,"C Graham, K Cheverst, M Rouncefield","Technology for the humdrum: Trajectories, interactional needs and a care setting",2005,… on Computer-Human Interaction …
11,D Stebila,Reinforcing bad behaviour: the misuse of security indicators on popular websites,2010,… 22nd Conference of the Computer-Human Interaction …
11,"D Johnson, J Gardner","Personality, motivation and video games",2010,… Conference of the Computer-Human Interaction …
11,C Helen,Purchase. The effects of graph layout,1998,… Conference on Computer Human Interaction
11,"RA Rusk, RM Krone",The Crawford slip method (CSM) as a tool for extraction of expert knowledge,1984,Human-Computer Interaction
11,"PB Waldegg, SAR Scrivener",Designing interfaces for culturally diverse users,1996,"Computer-Human Interaction, …"
11,MS Levin,Hierarchical design of user interfaces,1994,Human-Computer Interaction
11,"S Lauesen, MB Harning",Dialogue design through modified dataflow and data modelling,1993,Human Computer Interaction
11,"JL Szalma, PA Hancock",Task loading and stress in human–computer interaction: Theoretical frameworks and mitigation strategies,2008,Human-Computer Interaction
11,"Y Han, I Zukerman",A mechanism for multimodal presentation planning based on agent cooperation and negotiation,1997,Human–Computer Interaction
11,"N Churcher, C Cerecke",GroupCRC: Exploring CSCW support for software engineering,1996,"Computer-Human Interaction, 1996. …"
11,"PM Sanderson, C Fisher",Introduction to this special issue on exploratory sequential data analysis,1994,Human–Computer Interaction
11,A Dieberger,Navigation metaphors and social navigation in information spaces,1997,… for the Conference on Computer Human Interaction ( …
11,"RM Baecker, J Grudin, WAS Buxton…",From customizable systems to intelligent agents,1995,… -computer interaction
11,"H Maurer, F Kappe, N Scherbakov…",Structured browsing of hypermedia databases,1993,… Computer Interaction
11,"J Preece, Y Rogers","Sharp. H., Benyon, D., Holland, S. and Carey, T.(1994)",1994,Human-Computer Interaction
11,"D Diaper, G Cockton, D Gilmore…",Human-Computer Interaction-INTERACT'90,1990,… -Computer Interaction
11,"G Moretti, P Lyons",Tools for the selection of colour palettes,2002,… -NZ Symposium on Computer-Human Interaction
11,WC Hill,A Wizard of Oz study of advice giving and following,1993,Human-Computer Interaction
11,"D Friedman, R Leeb, G Pfurtscheller…",Human–Computer Interface Issues in Controlling Virtual Reality With Brain–Computer Interface,2010,… –Computer Interaction
11,"M Rauterberg, E Styger",Positive effects of sound feedback during the operation of a plant simulator,1994,Human-Computer Interaction
10,"S Alexander, A Sarrafzadeh",Interfaces that adapt like humans,2004,Computer Human Interaction
10,"D Draheim, G Weber",Specification and generation of model 2 web interfaces,2004,Computer Human Interaction
10,"D Sato, B Shizuki, M Miura, J Tanaka",Menu-selection-based japanese input method with consonants for pen-based computers,2004,Computer Human Interaction
10,"T Nakamura, S Takahashi, J Tanaka",Double-crossing: A new interaction technique for hand gesture interfaces,2008,Computer-Human Interaction
10,"C Chatfield, D Carmichael, R Hexel, J Kay…",Personalisation in intelligent environments: managing the information flow,2005,… -Human Interaction: …
10,"S Pardo, F Vetere, S Howard",Broadening stakeholder involvement in UCD: designers' perspectives on child-centred design,2005,… on Computer-Human Interaction: Citizens …
10,"BB Bederson, JD Hollan",Pad++: A zoomable graphical interface,1994,… on Computer Human Interaction
10,S Zabramski,"Careless touch: a comparative evaluation of mouse, pen, and touch input in shape tracing task",2011,… of the 23rd Australian Computer-Human Interaction …
10,"A Hussey, D Carrington",Using Object-Z to specify a web browser interface,1996,"Computer-Human Interaction, 1996. …"
10,"M Baklouti, S Couvet…",Intelligent Camera Interface (ICI): A challenging HMI for disabled people,2008,"… -Human Interaction, 2008 …"
10,"SJ Cunningham, LS Connaway",Information searching preferences and practices of computer science researchers,1996,"Computer-Human Interaction, …"
10,"CN Quinn, L Alem, J Eklund",A pragmatic evaluation methodology for an assessment of learning effectiveness in instructional systems,1997,Human–Computer Interaction
10,"EF Churchill, T Erickson",Introduction to this special issue on talking about things in mediated conversations,2003,Human-Computer Interaction
10,M van de Watering,The impact of computer technology on the elderly,2005,Human Computer Interaction
10,F Yetim,User-adapted hypertext explanations,1993,
10,G Bell,Other homes: Alternate visions of culturally situated technologies for the home,2003,"… on Computer-Human Interaction (CHI). Ft. Lauderdale, …"
10,IS MacKenzie,Introduction to this special issue on text entry for mobile computing,2002,Human–Computer Interaction
10,"AS Pollitt, MP Smith, P Braekevelt",View-based searching systems: a new paradigm for information retrieval based on faceted classification and indexing using mutually constraining …,1996,… Human Computer Interaction (Proceedings of the …
10,"D Abrazhevich, P Markopoulos…",Designing internet-based payment systems: guidelines and empirical basis,2009,… –Computer Interaction
10,"D Nitsche-Ruhland, G Zimmermann",CritiGUI—Knowledge-based support for the user interface design process in Smalltalk,1995,Human-Computer Interaction
10,"G Hua, TY Yang, S Vasireddy",PEYE: toward a visual motion based perceptual interface for mobile devices,2007,Human–Computer Interaction
10,"KR Butcher, T Sumner",Self-directed learning and the sensemaking paradox,2011,Human–Computer Interaction
10,"RM Ratwani, JG Trafton",A real-time eye tracking system for predicting and preventing postcompletion errors,2011,Human–Computer Interaction
9,"H Slay, B Thomas, R Vernik, W Piekarski",A rapidly adaptive collaborative ubiquitous computing environment to allow passive detection of marked objects,2004,Computer Human Interaction
9,"J Hauber, M Billinghurst, H Regenbrecht",Tangible teleconferencing,2004,Computer Human Interaction
9,"H Jeong, JS Kim, JS Choi",A Study of an EMG-controlled HCI Method by Clenching Teeth,2004,Computer Human Interaction
9,"K Wyatt, JG Phillips",Internet use and misuse in the workplace,2005,… conference on Computer-Human Interaction: …
9,"T Suenaga, Y Matsumoto, T Ogasawara",3D display based on motion parallax using non-contact 3D measurement of head position,2005,… Computer-Human Interaction: …
9,"A Blackler, D Mahar, V Popovic","Older adults, interface experience and cognitive decline",2010,… of the Computer-Human Interaction …
9,"OKC Au, CL Tai",Multitouch finger registration and its applications,2010,… 22nd Conference of the Computer-Human Interaction …
9,D McKay,A jump to the left (and then a step to the right): reading practices within academic ebooks,2011,… of the 23rd Australian Computer-Human Interaction …
9,"K Hyyppä, S Tamminen, I Hautala, L Repokari",The effect of Mental Model Guiding User's Action in Mobile Phone Answering Situations,2000,… on Computer Human Interaction
9,"AF Dix, J Abowd, G Beale",R.(1997),1997,Human-Computer Interaction
9,B Meyer,Retail user assistant: Evaluation of a user-adapted performance support system,1994,Human-Computer Interaction
9,W Mark,Knowledge-based user interface design,1985,Human-Computer Interaction
9,"FN Stokman, PH de Vries",Structuring knowledge in a graph,1988,
9,GLJ Nas,The effect on reading speed of word divisions at the end of a line,1988,Human-Computer Interaction
9,SK Card,Human limits and the VDT computer interface (excerpt),1987,Human-computer interaction
9,"AJWM Thomassen, HL Teulings…",Real-time processing of cursive writing and sketched graphics,1988,… -Computer Interaction
9,JH Numan,Knowledge-Based Systems as Companions: Trust,1998,Human Computer Interaction
9,"C Wong, H Chu, M Katagiri",GUI migration across heterogeneous Java profiles,2002,… on Computer-Human Interaction
9,LL Constantine,Visual coherence and usability: A cohesion metric for assessing the quality of dialogue and screen designs,1996,"Computer-Human Interaction, 1996. …"
9,"R Harstson, P Gray",Temporal aspects of tasks in the user action notacion,1992,Human Computer Interaction
9,"K Soininen, E Suikola",Information seeking is social,2000,"… first nordic conference on computer-human interaction, …"
9,H Reiterer,A human factors based user interface design,1993,Human Computer Interaction
9,JP Jenkins,An application of an expert system to problem solving in process control displays,1984,Human-Computer Interaction
9,"JR Olson, GM Olson",The growth of cognitive modeling in human-computer interaction since GOMS,1995,Human-computer interaction
9,B Curtis,Objects of our desire: Empirical research on object-oriented development,1995,Human–Computer Interaction
9,"JD Foley, VL Wallace, P Chan",The human factors of computer graphics interaction techniques,1990,Human-computer interaction
9,"P Markopoulos, B de Ruyter…",Introduction to this special issue on awareness systems design,2007,… –Computer Interaction
9,F Dix,Abowd & Beale,1998,Human-Computer Interaction
9,"AR Doherty, K Pauly-Takacs, N Caprani…",Experiences of aiding autobiographical memory using the SenseCam,2012,… Computer Interaction
8,"TWC Tsui, J Paynter",Cultural usability in the globalisation of news portal,2004,Computer Human Interaction
8,FHA Razak,Understanding interaction experience in mobile learning,2004,Computer Human Interaction
8,"P Lyons, G Moretti",Nine tools for generating harmonious colour schemes,2004,Computer Human Interaction
8,"G Casiez, P Plénacoste, C Chaillou",Does DOF separation on elastic devices improve user 3D steering task performance?,2004,Computer Human Interaction
8,"BL William Wong, R Joyekurun, H Mansour…","Depth, layering and transparency: developing design techniques",2005,… -Human Interaction: …
8,"I Widjaja, S Balbo",Structuration of activity: A view on human activity,2005,… Australia conference on Computer-Human Interaction …
